group	work_or_holding	files_searchable	coverage_mode	result_note
Mahāpurāṇa	Agni Purāṇa	1	Full searchable witness	No additional high-confidence direct guru-authority passage retained
Mahāpurāṇa	Bhāgavata Purāṇa	12	Full searchable text	Seventeen retained catalogue entries
Mahāpurāṇa	Brahma Purāṇa	1	Full searchable witness	No direct passage retained after context review
Mahāpurāṇa	Brahmāṇḍa Purāṇa	3	Full searchable witness	Teacher-qualification parallel retained
Mahāpurāṇa	Brahmavaivarta Purāṇa	0	Index / targeted web checks only	No claim of full-text exhaustiveness
Mahāpurāṇa	Bhaviṣya Purāṇa	0	Index / targeted web checks only	No claim of full-text exhaustiveness
Mahāpurāṇa	Garuḍa Purāṇa	3	Full searchable witness	One prudential parallel retained
Mahāpurāṇa	Kūrma Purāṇa	2	Full searchable witness	One reflection-on-meaning parallel retained
Mahāpurāṇa	Liṅga Purāṇa	2	Full searchable witness	Four methodological/teacher passages retained
Mahāpurāṇa	Mārkaṇḍeya Purāṇa	1	Full searchable witness	One anti-rote-learning parallel retained
Mahāpurāṇa	Matsya Purāṇa	1	Partial: chapters through 176	No full-corpus claim
Mahāpurāṇa	Nāradīya Purāṇa	2	Full searchable witness	One qualified reflection passage retained
Mahāpurāṇa	Padma Purāṇa	0	Targeted searchable web witness	Māyāmoha parallel retained
Mahāpurāṇa	Śiva Purāṇa	2	Partial: books 1 and 7	Strong teacher-testing passage in 7.2.15 retained
Mahāpurāṇa	Skanda Purāṇa	2	Partial machine text plus targeted web checks	6.1.278.88 and one quoted witness retained
Mahāpurāṇa	Vāmana Purāṇa	2	Full main witness plus Sāromāhātmya	No direct passage retained after context review
Mahāpurāṇa	Varāha Purāṇa	0	Index / targeted web checks only	No claim of full-text exhaustiveness
Mahāpurāṇa	Viṣṇu Purāṇa	1	Full critical searchable witness	Māyāmoha rhetoric and Nimi narrative retained
Supplementary Purāṇa	Vāyu Purāṇa	1	Partial: Revākhaṇḍa	No direct passage retained
Upapurāṇa	Narasimha Purāṇa	1	Full searchable witness	Comparative-scripture passage retained
Upapurāṇa / secondary Purāṇic	Viṣṇudharmottara	2	Small digital fragments only	No full-corpus claim
Upapurāṇa	Sāmba Purāṇa	0	Online index and targeted text checks	No direct passage retained; no full-corpus claim
Upapurāṇa	Mudgala Purāṇa	0	Scan/index checks	No direct passage retained; no critical edition
Upapurāṇa	Śivadharma corpus	0	Online index and targeted checks	No full-corpus claim
Upapurāṇa	Kapila Purāṇa	0	Online index and targeted checks	No full-corpus claim
Itihāsa	Mahābhārata + Harivaṃśa	19	Full critical-edition files	Direct guru-correction, reflective choice, and custom/reason passages retained
Itihāsa	Vālmīki Rāmāyaṇa	7	Full critical-edition files	Three practical examination parallels retained
Veda / Upaniṣad	Major available witnesses	18	Full-text search of GRETIL holdings plus targeted missing texts	Fifteen retained entries across Veda, Upaniṣad, and Śikṣā
Dharmaśāstra	Smṛtis and Dharmasūtras	18	Full-text search of selected extant digital witnesses	Āpastamba, Manu, and Bṛhaspati passages retained
Artha / Nīti	Kauṭilya plus digital nīti collections	1	Full Kauṭilya text plus targeted nīti witnesses	Nine retained entries
Āyurveda	Caraka and other GRETIL medical holdings	19	Full-text holdings plus targeted Suśruta witness	Ten retained entries
Vaiṣṇava Āgama / ritual	Pāñcarātra, Vaikhānasa, Hari-bhakti-vilāsa, related texts	40	All GRETIL Vaiṣṇava religious files searched	Teacher testing, bad-teacher criteria, and plural pramāṇa passages retained
Śaiva / Śākta Āgama-Tantra	Kiraṇa, Mṛgendra, Svacchanda, Kubjikā, Timirodghāṭana, related texts	83	All GRETIL Śaiva/Śākta religious files searched plus targeted Tantrāloka/Kulārṇava checks	Teacher-capacity and many-guru passages retained
Philosophical śāstra	Nyāya, Vaiśeṣika, Sāṃkhya, Yoga, Mīmāṃsā, Vedānta	14	Representative primary digital texts searched	Plural-pramāṇa and reasoned-interpretation passages retained
Total machine corpus	Digital Sanskrit files actually searched	258	72.9 MB raw HTML/text; includes separate books and some duplicate formats	Search completed 2026-09-14; candidate hits were manually context-filtered
