chapter,verse,source_ranges,mirror_ranges,local_records,source_sha
1,1,1,1,1,ab2d6ac6545e4c138aa4433bf648e9ae32b43bf2
1,2,1,1,1,ab2d6ac6545e4c138aa4433bf648e9ae32b43bf2
1,3,1,1,1,ab2d6ac6545e4c138aa4433bf648e9ae32b43bf2
1,4,1,1,1,ab2d6ac6545e4c138aa4433bf648e9ae32b43bf2
1,5,1,1,1,ab2d6ac6545e4c138aa4433bf648e9ae32b43bf2
1,6,1,1,1,ab2d6ac6545e4c138aa4433bf648e9ae32b43bf2
1,7,1,1,1,ab2d6ac6545e4c138aa4433bf648e9ae32b43bf2
1,8,1,1,1,ab2d6ac6545e4c138aa4433bf648e9ae32b43bf2
1,9,1,1,1,ab2d6ac6545e4c138aa4433bf648e9ae32b43bf2
1,10,1,1,1,ab2d6ac6545e4c138aa4433bf648e9ae32b43bf2
1,11,1,1,1,ab2d6ac6545e4c138aa4433bf648e9ae32b43bf2
1,12,1,1,1,ab2d6ac6545e4c138aa4433bf648e9ae32b43bf2
1,13,1,1,1,ab2d6ac6545e4c138aa4433bf648e9ae32b43bf2
1,14,1,1,1,ab2d6ac6545e4c138aa4433bf648e9ae32b43bf2
1,15,1,1,1,ab2d6ac6545e4c138aa4433bf648e9ae32b43bf2
1,16,1,1,1,ab2d6ac6545e4c138aa4433bf648e9ae32b43bf2
1,17,1,1,1,ab2d6ac6545e4c138aa4433bf648e9ae32b43bf2
1,18,1,1,1,ab2d6ac6545e4c138aa4433bf648e9ae32b43bf2
1,19,1,1,1,ab2d6ac6545e4c138aa4433bf648e9ae32b43bf2
1,20,1,1,0,ab2d6ac6545e4c138aa4433bf648e9ae32b43bf2
1,21,1,1,1,ab2d6ac6545e4c138aa4433bf648e9ae32b43bf2
1,22,1,1,1,ab2d6ac6545e4c138aa4433bf648e9ae32b43bf2
1,23,1,1,1,ab2d6ac6545e4c138aa4433bf648e9ae32b43bf2
1,24,1,1,1,ab2d6ac6545e4c138aa4433bf648e9ae32b43bf2
2,1,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,2,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,3,1,1,0,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,4,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,5,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,6,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,7,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,8,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,9,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,10,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,11,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,12,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,13,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,14,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,15,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,16,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,17,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,18,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,19,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,20,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,21,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,22,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,23,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,24,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,25,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,26,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,27,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,28,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,29,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,30,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,31,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,32,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,33,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,34,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,35,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,36,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,37,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,38,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,39,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,40,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,41,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,42,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,43,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,44,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,45,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,46,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,47,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,48,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,49,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,50,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,51,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,52,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,53,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,54,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
2,55,1,1,1,9e4e870b2cec74d1efb0176a077707d594ccc5f5
3,1,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,2,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,3,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,4,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,5,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,6,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,7,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,8,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,9,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,10,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,11,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,12,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,13,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,14,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,15,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,16,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,17,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,18,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,19,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,20,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,21,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,22,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,23,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,24,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,25,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,26,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,27,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,28,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,29,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,30,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
3,31,1,1,1,19b08d97670008defaf2c497098f96e5453b91a0
